candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
CREB3,5,ZNF221,0.2569202911125178,0.7430797088874822
CREB3,6,TOPORS,0.2589000929222637,0.7410999070777363
CREB3,7,ZNF394,0.2613630456414713,0.7386369543585287
CREB3,8,NFAT5,0.2725796504873057,0.7274203495126943
CREB3,9,ZNF444,0.27528924731807813,0.7247107526819219
CREB3,10,ZNF592,0.2768537812959946,0.7231462187040054
CREM,1,NR1H2,0.49795357392412787,0.5020464260758721
CREM,2,L3MBTL3,0.5072323336986002,0.4927676663013998
CREM,3,ZNF354A,0.5166401568563399,0.4833598431436601
CREM,4,GABPA,0.54204448947975,0.45795551052024996
CREM,5,GPBP1,0.5632988597190277,0.4367011402809723
CREM,6,PPARA,0.5705840474396422,0.4294159525603578
CREM,7,LIN54,0.5761284280587959,0.42387157194120406
