source_TF,n_target_genes,n_edges,log2FC_mean,log2FC_std,log2FC_min,log2FC_max,adj_pval_min,adj_pval_mean,adj_pval_median,culture_condition
ARID3B,10,10,0.901604746780546,1.0986329774334476,-1.7026480589503432,2.222051755789117,1.6414573535588148e-10,0.0103483196849501,0.0046122894280132,Stim48hr
ARID3B,2,2,1.4722348120198236,0.0547728800131686,1.4335045371373951,1.5109650869022524,4.066340312375535e-05,0.0010544558237165,0.0010544558237165,Stim8hr
ARID5A,2,2,-0.6899987120679374,0.1502843013754043,-0.7962657606763686,-0.5837316634595062,2.4812511236103242e-17,0.0096912683351272,0.0096912683351272,Rest
ARID5A,8,8,-0.3792373652749697,1.0586949362384517,-1.5644784847986557,1.5358941339431154,1.0557752817153989e-06,0.0174236636817194,0.022021904278245,Stim48hr
ARID5A,4,4,-0.2611915508110248,1.3286374161014374,-1.0263532562526498,1.728454380987933,2.290187928082317e-12,0.0034986287086563,2.758343406604954e-06,Stim8hr
ARNT,1674,1674,0.0048984641233852,0.7973462735258348,-9.415596428880017,4.215026372007281,7.683188559050673e-53,0.0139470190215464,0.0086111996016996,Rest
ARNT,2346,2346,-0.1048894285933966,0.7361601675803805,-4.772651647834262,3.1046642902456285,7.92973437039915e-91,0.0109977482595964,0.0033668851833475,Stim48hr
ARNT,1997,1997,0.0729844134579385,0.7243878534281857,-4.850937297832768,4.060230049978657,1.0139609077299947e-60,0.0123213777435989,0.0055520835568398,Stim8hr
ASH1L,6,6,-0.0328354155412098,1.2053542441967726,-0.7041442113317923,2.41460399026237,0.0008186432685033,0.0149624881682798,0.0053559141222635,Rest
ASH1L,4,4,-0.6110006643677796,0.1543072634463681,-0.7872666504782575,-0.4127339522121337,1.7859556319464332e-08,0.0024547105216441,0.0024547184331495,Stim48hr
ASH1L,2,2,-0.4602571563213842,0.1737881477761716,-0.583143934103765,-0.3373703785390035,3.070086514816197e-05,3.070086514816197e-05,3.070086514816197e-05,Stim8hr
ATF1,2,2,0.8616716664278781,2.364461691761281,-0.8102552296723401,2.533598562528096,9.893160952924429e-13,0.0111038564545363,0.0111038564545363,Rest
ATF1,3,3,0.0084605292313377,0.7835768253007572,-0.8949750351451498,0.5031408173196862,1.6993194537225498e-25,0.0166906946878768,0.0110991855388102,Stim48hr
ATF1,1,1,-0.7434612191521679,,-0.7434612191521679,-0.7434612191521679,3.7022285729985326e-30,3.7022285729985326e-30,3.7022285729985326e-30,Stim8hr
ATF3,5,5,0.789771019990978,0.868188366489491,-0.350222673237991,1.685507551113291,8.315836129124625e-05,0.0111174987295441,0.0108810394193433,Stim48hr
ATF4,50,50,-0.0291499428755224,0.6582019361825047,-1.3138937453995847,1.5203631761894774,0.0002037516832805,0.0250651258078037,0.0233456536740414,Rest
ATF4,243,243,-0.3021171581609366,0.9466078645697686,-5.150726437262678,4.414088923244532,2.2880182659003e-29,0.0168046513505036,0.0119587659331366,Stim48hr
ATF4,783,783,0.2048021808711679,0.648159380884724,-2.162457416961701,3.0849989019418085,1.3854951043076237e-20,0.013220616933294,0.0055223004641642,Stim8hr
ATF6,1,1,2.9893550384966936,,2.9893550384966936,2.9893550384966936,0.0139415899489446,0.0139415899489446,0.0139415899489446,Stim48hr
ATF6,2,2,1.8909199262701355,1.3655929961475008,0.9252998583533828,2.856539994186888,0.0157469260879245,0.0160619299230852,0.0160619299230852,Stim8hr
ATF6B,4,4,0.7779913650438925,1.3060562539960137,-0.6754642624807007,2.493570301394265,0.0028701621185122,0.0151983077257417,0.0152533457904722,Rest
ATF6B,24,24,0.6391952327987666,0.6986140734031616,-1.0345998254336606,2.346599697949734,2.7484020238978084e-08,0.0279975318347091,0.0368697741340978,Stim48hr
ATF6B,5,5,0.2746913514417786,1.2469635951487197,-0.9359095745042064,2.0339026500762967,2.2723143616222065e-15,0.018611681075467,0.025664635406985,Stim8hr
ATF7,2,2,0.0188138606748898,1.167941950927091,-0.8070458128579021,0.8446735342076818,5.62833758024902e-05,0.0111162654308764,0.0111162654308764,Rest
ATF7,2,2,0.5550665304505771,1.764961064276399,-0.6929494066294909,1.803082467530645,2.3137418097462893e-06,0.0016953011733714,0.0016953011733714,Stim48hr
ATF7,1,1,-0.9232226221105682,,-0.9232226221105682,-0.9232226221105682,6.373838368516044e-14,6.373838368516044e-14,6.373838368516044e-14,Stim8hr
ATMIN,1,1,-0.9251159445511208,,-0.9251159445511208,-0.9251159445511208,1.7469887000415885e-07,1.7469887000415885e-07,1.7469887000415885e-07,Rest
ATMIN,2,2,1.7176536240858182,3.395614895040969,-0.6834086944956977,4.118715942667334,4.2976025324611732e-16,0.0023803122356481,0.0023803122356481,Stim48hr
ATMIN,3,3,0.3477028456450354,1.1195678010501589,-0.6814822313196661,1.5398022986036586,0.0001574068310522,0.0116366123796156,0.000296095459234,Stim8hr
BACH1,1,1,1.308761461403111,,1.308761461403111,1.308761461403111,0.0021753194430409,0.0021753194430409,0.0021753194430409,Rest
BACH1,2,2,2.413995680635853,0.0186507151347353,2.400807633490103,2.427183727781603,4.472853477765221e-05,0.0179538395113414,0.0179538395113414,Stim8hr
BACH2,2,2,-0.4229667699950988,1.2024347083362008,-1.2732165061936949,0.4272829662034972,5.305802752751758e-06,6.631696015840236e-06,6.631696015840236e-06,Stim48hr
BACH2,14,14,0.086012433232668,0.2522653349144607,-0.3236084158636184,0.4918826240885445,0.0009780055477647,0.0348555989263039,0.0408762423691847,Stim8hr
BATF,222,222,0.536068796116217,1.0204862930129512,-3.00535188836344,3.696453614118044,2.81356917992919e-10,0.0191266029593623,0.016296775836637,Rest
BATF,413,413,0.1028828031899356,1.1614506981925894,-6.531754185973736,3.2654424084849123,1.0115961345147609e-17,0.0152019239791409,0.0102799314986137,Stim48hr
BATF,459,459,0.069328807603893,1.112987670939511,-6.942268074951796,3.0555769816775,2.5728543659386764e-31,0.0145395671491954,0.0097162756414875,Stim8hr
